Course Code;classid
20XC91;20PC
20XC92;20PC
20XC93;20PC
20XC96;20PC
20XC97;20PC
20XC98;20PC
20XD91;20PD
20XD92;20PD
20XD93;20PD
20XD96;20PD
20XD97;20PD
20XD98;20PD
20XT91;20PT
20XT92;20PT
20XT93;20PT
20XT96;20PT
20XT97;20PT
20XT98;20PT
20XW91;20PW
20XW92;20PW
20XW93;20PW
20XW96;20PW
20XW97;20PW
20XW98;20PW
20XC51;22PC
20XC52;22PC
20XC53;22PC
20XC54;22PC
20XC56;22PC
20XC57;22PC
20XC58;22PC
20XD51;22PD
20XD52;22PD
20XD53;22PD
20XD54;22PD
20XD56;22PD
20XD56;22PD
20XD57;22PD
20XD58;22PD
20XT51;22PT
20XT52;22PT
20XT53;22PT
20XT54;22PT
20XT56;22PT
20XT57;22PT
20XT57;22PT
20XT58;22PT
20XW51;22PW
20XW52;22PW
20XW53;22PW
20XW54;22PW
20XW56;22PW
20XW57;22PW
20XW58;22PW
21X501;22X0
21X502;22X0
21X503;22X0
21X504;22X0
21X505;22X0
21X506;22X0
23SA31;23PA
23SA32;23PA
23SA33;23PA
23SA34;23PA
23SA35;23PA
23SA36;23PA
23XC31;23PC
23XC32;23PC
23XC33;23PC
23XC34;23PC
23XC35;23PC
23XC36;23PC
23XC37;23PC
23XC38;23PC
23XD31;23PD
23XD32;23PD
23XD33;23PD
23XD34;23PD
23XD35;23PD
23XD36;23PD
23XD37;23PD
23XD38;23PD
23XT31;23PT
23XT32;23PT
23XT33;23PT
23XT34;23PT
23XT35;23PT
23XT36;23PT
23XT37;23PT
23XT38;23PT
23XW31;23PW
23XW32;23PW
23XW33;23PW
23XW34;23PW
23XW35;23PW
23XW36;23PW
23XW37;23PW
23XW38;23PW
21X301;23X0
21X302;23X0
21X303;23X0
21X304;23X0
21X305;23X0
21X306;23X0
21X307;23X0
21X308;23X0
