Course Code;facultycode
20XC91;C3472
20XC92;C3596
20XC93;C6161
20XC96;C3472
20XC97;C6161
20XC98;C6287
20XD91;C3650
20XD92;C5457
20XD93;C3028
20XD96;C6292
20XD97;C3650
20XD98;C5457
20XT91;C1692
20XT92;C1239
20XT93;C3150
20XT96;C1239
20XT97;C3150
20XT98;C6414
20XW91;C1935
20XW92;C6412
20XW93;C3027
20XW96;C3027
20XW97;C1931
20XW98;C6412
20XC51;C6356
20XC52;C3256
20XC53;C6292
20XC54;C6146
20XC56;C6146
20XC57;C3256
20XC58;C5465
20XD51;C3573
20XD52;C5531
20XD53;C6356
20XD54;C3027
20XD56;C3573
20XD56;C6463
20XD57;C3027
20XD58;C6412
20XT51;V50327
20XT52;C3596
20XT53;C6541
20XT54;C3573
20XT56;C6471
20XT57;C3573
20XT57;C6541
20XT58;C5380
20XW51;C6146
20XW52;C3288
20XW53;C6292
20XW54;C3321
20XW56;C6146
20XW57;C3288
20XW58;C6292
21X501;C6466
21X502;C1931
21X503;C3329
21X504;C6466
21X505;C1931
21X506;C3329
23SA31;C6478
23SA32;C6027
23SA33;C6353
23SA34;C6472
23SA35;C6027
23SA36;C6027
23XC31;C1692
23XC32;C6478
23XC33;C3650
23XC34;V50397
23XC35;C6416
23XC36;C3650
23XC37;C6416
23XC38;C6161
23XD31;C5457
23XD32;C5387
23XD33;C1345
23XD34;C6534
23XD35;C3256
23XD36;C5457
23XD37;C6534
23XD38;C6353
23XT31;C6421
23XT32;C1345
23XT33;C6027
23XT34;C6534
23XT35;C6463
23XT36;C6421
23XT37;C6534
23XT38;C6225
23XW31;C6353
23XW32;V50289
23XW33;C3321
23XW34;C6025
23XW35;C541
23XW36;C6025
23XW37;C541
23XW38;C3328
21X301;C6421
21X302;C5465
21X303;C3253
21X304;C6472
21X305;C3329
21X306;C5465
21X307;C6472
21X308;C3329
