Course Code;Course Title;hours per week;course type
20XC91;THREAT HUNTING;3;Theory
20XC92;CRYPTOECONOMICS;4;Theory
20XC93;COMPUTER FORENSICS;4;Theory
20XC96;THREAT HUNTING LAB;4;Lab
20XC97;COMPUTER FORENSICS LAB;4;Lab
20XC98;SECURITY CAPSTONE LAB;4;Lab
20XD91;DATA PRIVACY AND SECURITY;5;Theory
20XD92;NETWORK SCIENCE;3;Theory
20XD93;INFORMATION RETRIEVAL& WEB SEARCH;3;Theory
20XD96;INFORMATION RETRIEVAL & WEB SEARCH LAB;4;Lab
20XD97;DATA PRIVACY AND SECURITY LAB;4;Lab
20XD98;NETWORK SCIENCE LAB;4;Lab
20XT91;GAME THEORY;4;Theory
20XT92;MATHEMATICAL MODELLING;3;Theory
20XT93;INFORMATION RETRIEVAL AND WEB SEARCH;4;Theory
20XT96;MODELLING AND SIMULATION LAB;4;Lab
20XT97;INFORMATION RETRIEVAL AND WEB SEARCH LAB;4;Lab
20XT98;RESEARCH SPECIALIZATION LAB - II;4;Lab
20XW91;COMPUTER VISION AND IMAGE ANALYSIS;3;Theory
20XW92;SOFTWARE TESTING;3;Theory
20XW93;DEEP LEARNING;4;Theory
20XW96;DEEP LEARNING LAB;4;Lab
20XW97;COMPUTER VISION LAB;4;Lab
20XW98;FUNCTIONAL PROGRAMMING LAB;4;Lab
20XC51;NETWORK SECURITY;3;Theory
20XC52;WEB ENGINEERING;4;Theory
20XC53;MACHINE LEARNING;3;Theory
20XC54;COMPILERS AND PROGRAM ANALYSIS;3;Theory
20XC56;WINDOWS SYSTEM PROGRAMMING LAB;4;Lab
20XC57;WEB ENGINEERING LAB;4;Lab
20XC58;ETHICAL HACKING LAB;4;Lab
20XD51;DESIGN AND ANALYSIS OF ALGORITHMS;3;Theory
20XD52;STOCHASTIC MODELS;;Theory
20XD53;COMPUTER NETWORKS;;
20XD54;MACHINE LEARNING;;
20XD56;DESIGN AND ANALYSIS OF ALGORITHMS LAB;;
20XD56;DESIGN AND ANALYSIS OF ALGORITHMS LAB;;
20XD57;MACHINE LEARNING LAB;;
20XD58;CAPSTONE PROJECT;;
20XT51;THEORY OF COMPUTING;;
20XT52;COMPUTATIONAL NUMBER THEORY AND CRYPTOGRAPHY;;
20XT53;MACHINE LEARNING;;
20XT54;DESIGN AND ANALYSIS OF ALGORITHMS;;
20XT56;SCIENTIFIC COMPUTING LAB;;
20XT57;DESIGN AND ANALYSIS OF ALGORITHMS LAB;;
20XT57;DESIGN AND ANALYSIS OF ALGORITHMS LAB;;
20XT58;JAVA PROGRAMMING LAB;;
20XW51;UNIX ARCHITECTURE AND PROGRAMMING;;
20XW52;JAVA PROGRAMMING;;
20XW53;MACHINE LEARNING;;
20XW54;THEORY OF COMPUTING;;
20XW56;UNIX SHELL AND SYSTEM PROGRAMMING LAB;;
20XW57;JAVA PROGRAMMING LAB;;
20XW58;MACHINE LEARNING LAB;;
21X501;MOBILE COMPUTING AND APPLICATION DEVELOPMENT;;
21X502;COMPUTER GRAPHICS AND MULTIMEDIA;;
21X503;MACHINE LEARNING;;
21X504;MOBILE COMPUTING AND APPLICATION DEVELOPMENT LABORATORY;;
21X505;COMPUTER GRAPHICS AND MULTIMEDIA LABORATORY;;
21X506;MACHINE LEARNING LABORATORY;;
23SA31;APPLIED GRAPH THEORY;;
23SA32;OPTIMIZATION TECHNIQUES;;
23SA33;COMPLEX ANALYSIS;;
23SA34;MACHINE LEARNING;;
23SA35;SCIENTIFIC COMPUTING LAB;;
23SA36;MINI- PROJECT & SEMINAR;;
23XC31;PROBABILITY, STOCHASTIC PROCESSES AND STATISTICS;;
23XC32;LINEAR ALGEBRA;;
23XC33;MICROCONTROLLERS AND EMBEDDED SYSTEMS;;
23XC34;DATABASE MANAGEMENT SYSTEM;;
23XC35;DESIGN AND ANALYSIS OF ALGORITHMS;;
23XC36;EMBEDDED SYSTEMS LABORATORY;;
23XC37;DESIGN AND ANALYSIS OF ALGORITHMS LABORATORY;;
23XC38;RDBMS LABORATORY;;
23XD31;APPLIED STATISTICS;;
23XD32;LINEAR ALGEBRA;;
23XD33;GRAPH THEORY;;
23XD34;ADVANCED DATA STRUCTURES;;
23XD35;COMPUTER ORGANIZATION AND ASSEMBLY LANGUAGE PROGRAMMING;;
23XD36;APPLIED STATISTICS AND R PROGRAMMING LAB;;
23XD37;ADVANCED DATA STRUCTURES LAB;;
23XD38;SCIENTIFIC COMPUTING LAB;;
23XT31;PROBABILITY AND STATISTICS;;
23XT32;LINEAR ALGEBRA;;
23XT33;GRAPH THEORY;;
23XT34;ADVANCED DATA STRUCTURES;;
23XT35;COMPUTER ORGANIZATION AND ASSEMBLY LANGUAGE PROGRAMMING;;
23XT36;STATISTICAL COMPUTING AND R PROGRAMMING LAB;;
23XT37;ADVANCED DATA STRUCTURES LAB;;
23XT38;SCIENTIFIC COMPUTING LAB;;
23XW31;PROBABILITY, STOCHASTIC PROCESSES AND STATISTICS;;
23XW32;DATABASE MANAGEMENT SYSTEM;;
23XW33;TRANSFORM TECHNIQUES;;
23XW34;DESIGN AND ANALYSIS OF ALGORITHMS;;
23XW35;MICROPROCESSOR AND EMBEDDED SYSTEMS;;
23XW36;DESIGN AND ANALYSIS OF ALGORITHMS LAB;;
23XW37;EMBEDDED SYSTEMS LAB;;
23XW38;RDBMS LAB;;
21X301;PROBABILITY & STATISTICS;;
21X302;DATABASE MANAGEMENT SYSTEMS;;
21X303;MICROPROCESSORS AND MICROCONTROLLER;;
21X304;OPERATING SYSTEMS;;
21X305;ADVANCED DATA STRUCTURES AND ALGORITHMS ANALYSIS;;
21X306;DATABASE MANAGEMENT SYSTEM LABORATORY;;
21X307;OPERATING SYSTEMS LABORATORY;;
21X308;ADVANCED DATA STRUCTURES AND ALGORITHMS ANALYSIS LABORATORY;;
